,,0
6,36,3224951.0
32,25,3223668.0
-44,-20,3222907.0
-17,14,3215306.0
100,5,3210819.0
120,33,3203851.0
37,-1,3196994.0
109,23,3187928.0
6,7,3186687.0
43,36,3185140.0
118,28,3170178.0
9,11,3152742.0
108,30,3147042.0
2,36,3140780.0
39,10,3140422.0
74,15,3137804.0
78,24,3129359.0
-4,5,3125662.0
5,5,3124087.0
37,36,3122841.0
39,7,3120482.0
95,27,3116795.0
119,30,3111123.0
151,-34,3105501.0
102,24,3100168.0
121,41,3095077.0
7,13,3093189.0
8,6,3086233.0
4,8,3076829.0
77,15,3072176.0
112,-9,3069277.0
134,34,3067078.0
80,17,3064824.0
112,25,3062683.0
30,-1,3060782.0
35,0,3053821.0
110,19,3052490.0
75,33,3039090.0
121,37,3031629.0
74,24,3029538.0
-118,32,3018786.0
74,25,3017303.0
-72,10,3015717.0
78,20,3014595.0
34,1,3009618.0
-14,9,3008406.0
79,6,3008354.0
-122,37,3004085.0
36,34,2998811.0
38,10,2974770.0
-118,34,2973493.0
80,23,2973203.0
94,26,2971028.0
82,19,2970481.0
-9,41,2965689.0
71,21,2965542.0
30,0,2963691.0
-58,-26,2963119.0
76,13,2962679.0
81,28,2955663.0
-81,25,2954056.0
111,36,2950056.0
115,24,2949838.0
92,21,2947695.0
83,17,2944431.0
76,14,2942850.0
120,37,2937491.0
79,29,2931348.0
115,23,2926299.0
107,29,2919516.0
83,20,2906776.0
110,34,2901124.0
43,15,2889252.0
84,23,2872814.0
77,14,2872576.0
39,9,2865454.0
105,34,2863030.0
111,32,2861650.0
81,20,2855334.0
36,35,2852931.0
-8,12,2844510.0
104,25,2843463.0
-49,-2,2839281.0
-1,35,2837218.0
34,31,2836184.0
-85,39,2834325.0
8,13,2831238.0
80,24,2830489.0
104,26,2821040.0
-122,38,2821028.0
16,48,2817078.0
33,14,2815106.0
85,22,2813034.0
37,-2,2812699.0
105,18,2808914.0
105,31,2808396.0
-50,-17,2798653.0
19,47,2792931.0
111,40,2785866.0
72,20,2785675.0
7,50,2778260.0
-45,-20,2777945.0
80,21,2777532.0
95,17,2776301.0
66,39,2773187.0
121,38,2771541.0
78,14,2769661.0
117,40,2766181.0
68,38,2763671.0
9,12,2763418.0
111,28,2755989.0
-98,32,2753722.0
68,26,2752517.0
75,24,2752164.0
-78,-12,2750386.0
10,5,2748246.0
76,22,2743546.0
79,16,2741222.0
79,14,2740514.0
137,34,2740253.0
5,52,2739127.0
93,26,2728631.0
4,45,2723902.0
95,16,2722615.0
32,-3,2717907.0
-1,39,2715246.0
111,-7,2715229.0
76,24,2712655.0
110,25,2712655.0
105,-5,2712183.0
133,34,2708866.0
-75,10,2705628.0
76,21,2703835.0
109,21,2703230.0
74,27,2702353.0
124,8,2695813.0
78,23,2694022.0
80,12,2689930.0
94,27,2688935.0
103,27,2685915.0
96,21,2685898.0
103,25,2682815.0
51,25,2677002.0
124,43,2671372.0
115,27,2670585.0
-48,-24,2662048.0
-10,38,2661750.0
78,30,2661310.0
101,36,2660072.0
109,27,2659829.0
31,-18,2656797.0
69,25,2654938.0
31,27,2652915.0
